nom,street,postal_code,city,latitude,longitude,geocode_score,statut,objet,siret,mots_cles
LE BON SAMARITAIN A VIVIERS,RUE des Ramières,07220,Viviers,44.485544,4.688423,0.9502,Active,"promouvoir l'entraide et la solidarité dans tous les domaines sur le territoire de la commune de Viviers ; porter une attention particulière à aider les personnes dans le besoin en leur fournissant, dans la mesure de ses moyens, une aide alimentaire, des vêtements, une aide morale et psychologique, des conseils de ""bon père de famille"""", et la possibilité de développer ses connaissances à l'atelier """"échanges de savoirs""""""",,aide alimentaire
MAINS TENDUES,34 PL de la Roubine,07220,Viviers,44.484487,4.688358,0.8316,Active,"entraide des personnes vulnérables dans une ambiance de convivialité, distribution de colis alimentaire, produits d'hygiène et ménagers, recyclage d'objets divers et vestiaire ; organisation de sorties, brocantes extérieures et ateliers créatifs",,colis alimentaire
ENTRAIDE PROTESTANTE TOURNON TAIN,1 RUE roseron,07300,Tournon-sur-Rhône,45.06384,4.837325,0.9582,Active,"apporter une aide matérielle, fraternelle sans distinction sociale, politique ou confessionnelle  (dans le cadre des missions de l'Eglise Protestante Unie de Tournon/Tain)  ; cette aide pourra être gratuite, alimentaire, logistique, financière ou autre selon les demandes et les possibilités de l'association ; dans cette perspective l'association peut servir d'intermédiaire entre une banque alimentaire (ou équivalent) et les bénéficiaires (ou un organisme de distribution) ; l'association est membre de la Fédération de l'Entraide Protestante (FEP)",,banque alimentaire
LA PASSERELLE,61 RUE de la Lombardière,07430,Davézieux,45.255046,4.697938,0.9517,Active,"gestion d'une épicerie solidaire pour les familles en situation de précarité résidant sur le bassin d'Annonay et ses communes alentours ; mise en oeuvre d'actions permettant leur accompagnement budgétaire et leur insertion sociale ; développement et consolidation de projets sociaux et économiques d'intérêts collectifs ; aider les familles en situation de précarité, les personnes isolées à retrouver une vie sociale et morale",,épicerie solidaire
DRÔME AFRIQUE SANS FRONTIÈRES,12 RUE Henri Baudson,07130,Saint-Péray,44.952835,4.846502,0.9570,Active,"association non lucrative, destinée au développement de la population Africaine ; son objectif est de subvenir aux besoins des populations en leur apportant de l'aide alimentaire, médicale, fournitures scolaires et vestimentaires",,aide alimentaire
ZESTE,482 AV Louis Frederic Ducros,07130,Saint-Péray,44.937005,4.835023,0.8575,Active,"sensibiliser aux enjeux d'une alimentation saine et durable pour tous ; tes et à la lutte contre le gaspillage alimentaire ; 
modifier les habitudes alimentaires en favorisant la consommation de produits locaux de saison et permettre ainsi aux consommateurs de dépenser moins tout en préservant leur santé et la planète ; 
favoriser le « mieux manger » pour tous ; tes notamment les publics en situation précaire ; 
éduquer et prévenir sur l'alimentation auprès des enfants, des adolescents, des adultes, des seniors et des publics à besoins particuliers ;",,lutte contre le gaspillage alimentaire
SMILE ASSOCIATION,40 ALL des Dames,07300,Tournon-sur-Rhône,45.059285,4.835462,0.8760,Active,"association humanitaire pour venir en aide aux plus démunis au Maroc et éventuellement d'autres pays si l'organisation nous le permet ; 
mise à disposition de colis alimentaire, faire creuser des puits dans les régions les plus arides, apporter des soins aux populations n'ayant pas les moyens de se soigner, se mettre en contact avec des orphelinats afin d'apporter une aide (vestimentaire, cadeaux, 
) aux enfants ; vendre des produits divers pour la récolte de fonds",,colis alimentaire
EPICERIE SOCIALE DU BASSIN DOLOIS,21 23 RUE Faustin Besson,39100,Dole,47.097688,5.495132,0.8814,Active,"apporter une aide alimentaire à des personnes démunies orientées par les services sociaux du secteur ; cette aide alimentaire consiste en la mise à disposition de produits alimentaires pour lesquels une participation financière sera demandée aux bénéficiaires, être un lieu d'accueil et de rencontre, en vue de contribuer à faciliter, voire de restaurer les liens sociaux, être un lieu d'écoute neutre et non jugeant, développer des animations, établir ou consolider les partenariats",82194482400027,aide alimentaire
CHAM,3 D RUE Marcel Aymé,39100,Dole,47.093662,5.497272,0.8762,Active,"contribuer à une aide alimentaire de première nécessité et faire parvenir des vêtements, des jouets, etc. pour une population touchée par le conflit en Syrie, effectuer des activités socio-culturelles",,aide alimentaire
ASSOCIATION RÉGIONALE DES BANQUES ALIMENTAIRES DE BOURGOGNE - FRANCHE-COMTE - JURA,10 RUE Alessandro Volta,39300,Champagnole,46.741808,5.925452,0.7731,Active,"soutenir et promouvoir l'action des Banques Alimentaires de la région Bourgogne Franche-Comté (Banques Alimentaires de Bourgogne, de Franche-Comté et du Jura ) dans une démarche permanente de solidarité, d'équité et de mutualisation, en se référant aux valeurs de la Charte des Banques Alimentaires ; elle inscrit son action dans le cadre de l'économie sociale et solidaire ; chaque Banque Alimentaire (BA) garde son autonomie de décisions et de fonctionnement",,banque alimentaire
